vin	V(vo)
9.300000000000001e+00	4.957724e+00
9.310000000000000e+00	4.957729e+00
9.320000000000000e+00	4.957735e+00
9.330000000000000e+00	4.957740e+00
9.340000000000000e+00	4.957746e+00
9.350000000000000e+00	4.957751e+00
9.359999999999999e+00	4.957756e+00
9.369999999999999e+00	4.957761e+00
9.379999999999999e+00	4.957767e+00
9.389999999999999e+00	4.957772e+00
9.399999999999999e+00	4.957778e+00
9.409999999999998e+00	4.957783e+00
9.419999999999998e+00	4.957788e+00
9.429999999999998e+00	4.957794e+00
9.439999999999998e+00	4.957799e+00
9.449999999999998e+00	4.957804e+00
9.459999999999997e+00	4.957809e+00
9.469999999999997e+00	4.957815e+00
9.479999999999997e+00	4.957820e+00
9.489999999999997e+00	4.957826e+00
9.499999999999996e+00	4.957831e+00
9.509999999999996e+00	4.957836e+00
9.519999999999996e+00	4.957841e+00
9.529999999999996e+00	4.957847e+00
9.539999999999996e+00	4.957852e+00
9.549999999999995e+00	4.957858e+00
9.559999999999995e+00	4.957863e+00
9.569999999999995e+00	4.957868e+00
9.579999999999995e+00	4.957873e+00
9.589999999999995e+00	4.957879e+00
9.599999999999994e+00	4.957884e+00
9.609999999999994e+00	4.957890e+00
9.619999999999994e+00	4.957895e+00
9.629999999999994e+00	4.957900e+00
9.639999999999993e+00	4.957906e+00
9.649999999999993e+00	4.957911e+00
9.659999999999993e+00	4.957916e+00
9.669999999999993e+00	4.957922e+00
9.679999999999993e+00	4.957927e+00
9.689999999999992e+00	4.957932e+00
9.700000000000001e+00	4.957938e+00
