#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
2.00E-08,0.600
4.00E-08,0.800
6.00E-08,0.800
8.00E-08,0.800
1.00E-07,1.000
1.20E-07,0.800
1.40E-07,0.800
1.60E-07,1.000
1.80E-07,0.800
2.00E-07,2.400
2.20E-07,4.200
2.40E-07,6.000
2.60E-07,6.600
2.80E-07,7.600
3.00E-07,8.200
3.20E-07,9.000
3.40E-07,9.400
3.60E-07,9.800
3.80E-07,10.200
4.00E-07,10.200
4.20E-07,10.600
4.40E-07,10.400
4.60E-07,10.800
4.80E-07,10.800
5.00E-07,10.800
5.20E-07,11.200
5.40E-07,11.000
5.60E-07,11.200
5.80E-07,11.400
6.00E-07,11.400
6.20E-07,11.400
6.40E-07,11.400
6.60E-07,11.400
6.80E-07,11.400
7.00E-07,11.400
7.20E-07,11.400
7.40E-07,11.400
7.60E-07,11.600
7.80E-07,11.200
8.00E-07,11.200
8.20E-07,11.600
8.40E-07,11.400
8.60E-07,11.600
8.80E-07,11.400
9.00E-07,11.200
9.20E-07,11.400
9.40E-07,11.600
9.60E-07,11.400
9.80E-07,11.400
1.00E-06,11.400
1.02E-06,11.400
1.04E-06,11.200
1.06E-06,11.400
1.08E-06,11.400
1.10E-06,11.400
1.12E-06,11.400
1.14E-06,11.400
1.16E-06,11.400
1.18E-06,11.400
1.20E-06,11.400
1.22E-06,11.600
1.24E-06,11.400
1.26E-06,11.400
1.28E-06,11.400
1.30E-06,11.400
1.32E-06,11.400
1.34E-06,11.400
1.36E-06,11.600
1.38E-06,11.400
1.40E-06,11.400
1.42E-06,11.400
1.44E-06,11.600
1.46E-06,11.400
1.48E-06,11.400
1.50E-06,11.400
1.52E-06,11.400
1.54E-06,11.600
1.56E-06,11.400
1.58E-06,11.400
1.60E-06,11.400
1.62E-06,11.400
1.64E-06,11.600
1.66E-06,11.600
1.68E-06,11.600
1.70E-06,11.400
1.72E-06,11.400
1.74E-06,11.400
1.76E-06,11.400
1.78E-06,11.400
1.80E-06,11.400
1.82E-06,11.400
1.84E-06,11.400
1.86E-06,11.400
1.88E-06,11.400
1.90E-06,11.600
1.92E-06,11.600
1.94E-06,11.400
1.96E-06,11.400
1.98E-06,11.400
2.00E-06,11.400
2.02E-06,11.400
2.04E-06,11.400
2.06E-06,11.400
2.08E-06,11.400
2.10E-06,11.400
2.12E-06,11.400
2.14E-06,11.200
2.16E-06,11.200
2.18E-06,11.400
2.20E-06,11.400
2.22E-06,11.600
2.24E-06,11.600
2.26E-06,11.400
2.28E-06,11.400
2.30E-06,11.400
2.32E-06,11.400
2.34E-06,11.400
2.36E-06,11.400
2.38E-06,11.000
2.40E-06,11.200
2.42E-06,11.400
2.44E-06,11.400
2.46E-06,11.400
2.48E-06,11.400
2.50E-06,11.400
2.52E-06,11.200
2.54E-06,11.400
2.56E-06,11.400
2.58E-06,11.400
2.60E-06,11.400
2.62E-06,11.400
2.64E-06,11.200
2.66E-06,11.200
2.68E-06,11.200
2.70E-06,11.400
2.72E-06,11.400
2.74E-06,11.400
2.76E-06,11.400
2.78E-06,11.400
2.80E-06,11.400
2.82E-06,11.400
2.84E-06,11.400
2.86E-06,11.400
2.88E-06,11.200
2.90E-06,11.200
2.92E-06,11.400
2.94E-06,11.600
2.96E-06,11.600
2.98E-06,11.600
3.00E-06,11.000
3.02E-06,11.400
3.04E-06,11.200
3.06E-06,11.200
3.08E-06,11.200
3.10E-06,11.400
3.12E-06,11.400
3.14E-06,11.400
3.16E-06,11.400
3.18E-06,11.200
3.20E-06,11.600
3.22E-06,11.600
3.24E-06,11.600
3.26E-06,11.400
3.28E-06,11.400
3.30E-06,11.400
3.32E-06,11.600
3.34E-06,11.400
3.36E-06,11.400
3.38E-06,11.400
3.40E-06,11.400
3.42E-06,11.400
3.44E-06,11.600
3.46E-06,11.600
3.48E-06,11.600
3.50E-06,11.400
3.52E-06,11.400
3.54E-06,11.400
3.56E-06,11.600
3.58E-06,11.600
3.60E-06,11.400
3.62E-06,11.400
3.64E-06,11.400
3.66E-06,11.400
3.68E-06,11.400
3.70E-06,11.400
3.72E-06,11.400
3.74E-06,11.400
3.76E-06,11.400
3.78E-06,11.400
3.80E-06,11.400
3.82E-06,11.400
3.84E-06,11.200
3.86E-06,11.400
3.88E-06,11.400
3.90E-06,11.400
3.92E-06,11.400
3.94E-06,11.400
3.96E-06,11.200
3.98E-06,11.400
4.00E-06,11.400
4.02E-06,11.400
4.04E-06,11.400
4.06E-06,11.400
4.08E-06,11.400
4.10E-06,11.400
4.12E-06,11.400
4.14E-06,11.400
4.16E-06,11.400
4.18E-06,11.400
4.20E-06,11.400
4.22E-06,11.400
4.24E-06,11.000
4.26E-06,10.400
4.28E-06,9.600
4.30E-06,8.600
4.32E-06,7.600
4.34E-06,6.600
4.36E-06,5.600
4.38E-06,4.800
4.40E-06,4.000
4.42E-06,3.200
4.44E-06,2.800
4.46E-06,2.200
4.48E-06,2.000
4.50E-06,1.400
4.52E-06,1.000
4.54E-06,1.200
4.56E-06,1.200
4.58E-06,1.000
4.60E-06,1.000
4.62E-06,1.200
4.64E-06,1.000
4.66E-06,1.000
4.68E-06,1.000
4.70E-06,0.800
4.72E-06,1.000
4.74E-06,0.800
4.76E-06,1.000
4.78E-06,0.800
4.80E-06,0.600
4.82E-06,0.600
4.84E-06,0.800
4.86E-06,0.800
4.88E-06,1.000
4.90E-06,1.000
4.92E-06,0.600
4.94E-06,0.800
4.96E-06,0.800
4.98E-06,1.000
5.00E-06,0.800
5.02E-06,1.000
5.04E-06,0.600
5.06E-06,0.600
5.08E-06,0.800
5.10E-06,0.600
5.12E-06,0.800
5.14E-06,0.600
5.16E-06,1.000
5.18E-06,1.000
5.20E-06,0.800
5.22E-06,0.800
5.24E-06,0.800
5.26E-06,0.800
5.28E-06,1.000
5.30E-06,0.800
5.32E-06,0.600
5.34E-06,0.800
5.36E-06,1.000
5.38E-06,1.000
5.40E-06,0.600
5.42E-06,0.600
5.44E-06,0.800
5.46E-06,0.600
5.48E-06,0.800
5.50E-06,0.800
5.52E-06,0.800
5.54E-06,0.800
5.56E-06,0.800
5.58E-06,0.800
5.60E-06,0.800
5.62E-06,0.800
5.64E-06,0.800
5.66E-06,0.800
5.68E-06,1.000
5.70E-06,0.800
5.72E-06,0.600
5.74E-06,0.800
5.76E-06,0.800
5.78E-06,1.000
5.80E-06,0.800
5.82E-06,0.800
5.84E-06,0.800
5.86E-06,0.800
5.88E-06,0.800
5.90E-06,1.000
5.92E-06,0.800
5.94E-06,0.800
5.96E-06,1.000
5.98E-06,0.800
6.00E-06,1.000
6.02E-06,0.600
6.04E-06,0.800
6.06E-06,1.000
6.08E-06,0.800
6.10E-06,0.600
6.12E-06,0.800
6.14E-06,0.600
6.16E-06,0.600
6.18E-06,0.800
6.20E-06,0.600
6.22E-06,0.800
6.24E-06,0.600
6.26E-06,0.800
6.28E-06,1.000
6.30E-06,0.800
6.32E-06,1.000
6.34E-06,0.600
6.36E-06,0.600
6.38E-06,0.800
6.40E-06,0.600
6.42E-06,0.800
