#timebase=4000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
2.00E-08,9.600
4.00E-08,10.000
6.00E-08,10.000
8.00E-08,9.800
1.00E-07,10.000
1.20E-07,9.600
1.40E-07,10.000
1.60E-07,9.800
1.80E-07,9.800
2.00E-07,9.800
2.20E-07,9.800
2.40E-07,9.600
2.60E-07,10.000
2.80E-07,10.000
3.00E-07,9.800
3.20E-07,9.800
3.40E-07,10.000
3.60E-07,9.800
3.80E-07,10.000
4.00E-07,9.800
4.20E-07,9.800
4.40E-07,9.600
4.60E-07,9.800
4.80E-07,9.800
5.00E-07,9.600
5.20E-07,9.800
5.40E-07,9.800
5.60E-07,10.000
5.80E-07,10.000
6.00E-07,9.600
6.20E-07,9.400
6.40E-07,8.800
6.60E-07,8.200
6.80E-07,6.800
7.00E-07,6.000
7.20E-07,5.000
7.40E-07,4.200
7.60E-07,3.600
7.80E-07,2.600
8.00E-07,2.400
8.20E-07,1.800
8.40E-07,1.800
8.60E-07,1.400
8.80E-07,1.200
9.00E-07,1.000
9.20E-07,0.800
9.40E-07,1.000
9.60E-07,1.000
9.80E-07,1.000
1.00E-06,1.000
1.02E-06,1.000
1.04E-06,1.000
1.06E-06,1.200
1.08E-06,1.000
1.10E-06,1.000
1.12E-06,0.800
1.14E-06,0.600
1.16E-06,1.000
1.18E-06,1.000
1.20E-06,1.000
1.22E-06,1.000
1.24E-06,0.600
1.26E-06,0.800
1.28E-06,1.000
1.30E-06,0.800
1.32E-06,0.600
1.34E-06,0.800
1.36E-06,1.000
1.38E-06,0.800
1.40E-06,1.000
1.42E-06,0.600
1.44E-06,0.600
1.46E-06,0.800
1.48E-06,1.000
1.50E-06,1.000
1.52E-06,0.600
1.54E-06,0.800
1.56E-06,0.800
1.58E-06,0.800
1.60E-06,0.800
1.62E-06,1.000
1.64E-06,0.800
1.66E-06,0.600
1.68E-06,0.800
1.70E-06,1.000
1.72E-06,0.600
1.74E-06,0.800
1.76E-06,1.000
1.78E-06,0.800
1.80E-06,0.600
1.82E-06,0.800
1.84E-06,1.000
1.86E-06,0.600
1.88E-06,0.800
1.90E-06,0.800
1.92E-06,0.800
1.94E-06,1.000
1.96E-06,0.800
1.98E-06,0.600
2.00E-06,0.600
2.02E-06,1.000
2.04E-06,0.600
2.06E-06,1.200
2.08E-06,3.000
2.10E-06,4.400
2.12E-06,5.400
2.14E-06,6.200
2.16E-06,7.000
2.18E-06,7.600
2.20E-06,8.000
2.22E-06,8.200
2.24E-06,8.600
2.26E-06,9.000
2.28E-06,9.200
2.30E-06,9.200
2.32E-06,9.200
2.34E-06,9.400
2.36E-06,9.400
2.38E-06,9.400
2.40E-06,9.400
2.42E-06,9.800
2.44E-06,9.800
2.46E-06,9.600
2.48E-06,9.800
2.50E-06,9.600
2.52E-06,9.600
2.54E-06,9.800
2.56E-06,10.000
2.58E-06,10.000
2.60E-06,10.000
2.62E-06,9.600
2.64E-06,9.800
2.66E-06,9.800
2.68E-06,9.600
2.70E-06,10.000
2.72E-06,10.200
2.74E-06,10.000
2.76E-06,9.800
2.78E-06,9.800
2.80E-06,9.800
2.82E-06,9.800
2.84E-06,10.000
2.86E-06,10.000
2.88E-06,9.600
2.90E-06,10.000
2.92E-06,9.600
2.94E-06,10.000
2.96E-06,10.000
2.98E-06,10.200
3.00E-06,10.000
3.02E-06,9.800
3.04E-06,9.800
3.06E-06,9.800
3.08E-06,10.000
3.10E-06,10.000
3.12E-06,9.800
