#timebase=20000000000(ps)
,#voltbase=50000(mv/100)
#size=4000
1.00E-04,0.008
2.00E-04,0.008
3.00E-04,0.010
4.00E-04,0.008
5.00E-04,0.012
6.00E-04,0.014
7.00E-04,0.004
8.00E-04,0.030
9.00E-04,0.010
1.00E-03,0.010
1.10E-03,0.012
1.20E-03,0.010
1.30E-03,0.014
1.40E-03,0.020
1.50E-03,0.012
1.60E-03,0.012
1.70E-03,0.010
1.80E-03,0.018
1.90E-03,0.020
2.00E-03,0.020
2.10E-03,0.024
2.20E-03,0.018
2.30E-03,0.018
2.40E-03,0.024
2.50E-03,0.024
2.60E-03,0.028
2.70E-03,0.024
2.80E-03,0.024
2.90E-03,0.034
3.00E-03,0.026
3.10E-03,0.036
3.20E-03,0.022
3.30E-03,0.026
3.40E-03,0.026
3.50E-03,0.026
3.60E-03,0.026
3.70E-03,0.028
3.80E-03,0.020
3.90E-03,0.024
4.00E-03,0.020
4.10E-03,0.026
4.20E-03,0.022
4.30E-03,0.026
4.40E-03,0.030
4.50E-03,0.020
4.60E-03,0.022
4.70E-03,0.020
4.80E-03,0.024
4.90E-03,0.026
5.00E-03,0.020
5.10E-03,0.028
5.20E-03,0.024
5.30E-03,0.028
5.40E-03,0.026
5.50E-03,0.042
5.60E-03,0.018
5.70E-03,0.018
5.80E-03,0.014
5.90E-03,0.028
6.00E-03,0.024
6.10E-03,0.030
6.20E-03,0.028
6.30E-03,0.024
6.40E-03,0.022
6.50E-03,0.010
6.60E-03,0.020
6.70E-03,0.020
6.80E-03,0.020
6.90E-03,0.014
7.00E-03,0.018
7.10E-03,0.016
7.20E-03,0.012
7.30E-03,0.014
7.40E-03,0.010
7.50E-03,0.018
7.60E-03,0.010
7.70E-03,0.012
7.80E-03,0.010
7.90E-03,0.012
8.00E-03,0.010
8.10E-03,0.008
8.20E-03,0.006
8.30E-03,0.008
8.40E-03,0.010
8.50E-03,0.004
8.60E-03,0.000
8.70E-03,0.002
8.80E-03,0.004
8.90E-03,0.002
9.00E-03,0.000
9.10E-03,-0.002
9.20E-03,0.000
9.30E-03,0.000
9.40E-03,0.002
9.50E-03,0.002
9.60E-03,-0.006
9.70E-03,-0.006
9.80E-03,-0.004
9.90E-03,-0.006
1.00E-02,-0.004
1.01E-02,-0.006
1.02E-02,-0.010
1.03E-02,-0.010
1.04E-02,-0.008
1.05E-02,-0.014
1.06E-02,-0.012
1.07E-02,-0.012
1.08E-02,-0.014
1.09E-02,-0.010
1.10E-02,-0.016
1.11E-02,-0.026
1.12E-02,-0.016
1.13E-02,-0.020
1.14E-02,-0.014
1.15E-02,-0.020
1.16E-02,-0.022
1.17E-02,-0.038
1.18E-02,-0.014
1.19E-02,-0.020
1.20E-02,-0.012
1.21E-02,-0.022
1.22E-02,-0.022
1.23E-02,-0.030
1.24E-02,-0.022
1.25E-02,-0.024
1.26E-02,-0.018
1.27E-02,-0.028
1.28E-02,-0.036
1.29E-02,-0.032
1.30E-02,-0.034
1.31E-02,-0.030
1.32E-02,-0.026
1.33E-02,-0.036
1.34E-02,-0.026
1.35E-02,-0.040
1.36E-02,-0.034
1.37E-02,-0.034
1.38E-02,-0.034
1.39E-02,-0.032
1.40E-02,-0.032
1.41E-02,-0.034
1.42E-02,-0.034
1.43E-02,-0.032
1.44E-02,-0.030
1.45E-02,-0.022
1.46E-02,-0.032
1.47E-02,-0.044
1.48E-02,-0.036
1.49E-02,-0.040
1.50E-02,-0.038
1.51E-02,-0.030
1.52E-02,-0.028
1.53E-02,-0.034
1.54E-02,-0.028
1.55E-02,-0.018
1.56E-02,-0.022
1.57E-02,-0.028
1.58E-02,-0.032
1.59E-02,-0.038
1.60E-02,-0.024
1.61E-02,-0.024
1.62E-02,-0.026
1.63E-02,-0.028
1.64E-02,-0.014
1.65E-02,-0.018
1.66E-02,-0.018
1.67E-02,-0.022
1.68E-02,-0.018
1.69E-02,-0.024
1.70E-02,-0.016
1.71E-02,-0.018
1.72E-02,-0.018
1.73E-02,-0.016
1.74E-02,-0.014
1.75E-02,-0.014
1.76E-02,-0.012
1.77E-02,-0.014
1.78E-02,-0.016
1.79E-02,-0.012
1.80E-02,-0.014
1.81E-02,-0.006
1.82E-02,-0.008
1.83E-02,-0.008
1.84E-02,-0.004
1.85E-02,-0.002
1.86E-02,-0.004
1.87E-02,-0.004
1.88E-02,-0.006
1.89E-02,-0.006
1.90E-02,-0.004
1.91E-02,0.000
1.92E-02,0.000
1.93E-02,0.000
1.94E-02,0.000
1.95E-02,0.006
1.96E-02,0.002
1.97E-02,0.006
1.98E-02,0.008
1.99E-02,0.008
2.00E-02,0.004
2.01E-02,0.006
2.02E-02,0.010
2.03E-02,0.004
2.04E-02,0.004
2.05E-02,0.008
2.06E-02,0.014
2.07E-02,0.012
2.08E-02,0.016
2.09E-02,0.010
2.10E-02,0.014
2.11E-02,0.012
2.12E-02,0.006
2.13E-02,0.014
2.14E-02,0.014
2.15E-02,0.018
2.16E-02,0.020
2.17E-02,0.012
2.18E-02,0.012
2.19E-02,0.020
2.20E-02,0.022
2.21E-02,0.020
2.22E-02,0.020
2.23E-02,0.026
2.24E-02,0.030
2.25E-02,0.018
2.26E-02,0.024
2.27E-02,0.024
2.28E-02,0.026
2.29E-02,0.026
2.30E-02,0.020
2.31E-02,0.028
2.32E-02,0.024
2.33E-02,0.020
2.34E-02,0.026
2.35E-02,0.026
2.36E-02,0.016
2.37E-02,0.026
2.38E-02,0.026
2.39E-02,0.024
2.40E-02,0.028
2.41E-02,0.024
2.42E-02,0.044
2.43E-02,0.026
2.44E-02,0.030
2.45E-02,0.040
2.46E-02,0.036
2.47E-02,0.024
2.48E-02,0.026
2.49E-02,0.036
2.50E-02,0.012
2.51E-02,0.024
2.52E-02,0.024
2.53E-02,0.026
2.54E-02,0.042
2.55E-02,0.036
2.56E-02,0.016
2.57E-02,0.024
2.58E-02,0.018
2.59E-02,0.034
2.60E-02,0.020
2.61E-02,0.036
2.62E-02,0.010
2.63E-02,0.020
2.64E-02,0.040
2.65E-02,0.012
2.66E-02,0.020
2.67E-02,0.018
2.68E-02,0.022
2.69E-02,0.020
2.70E-02,0.018
2.71E-02,0.016
2.72E-02,0.014
2.73E-02,0.016
2.74E-02,0.012
2.75E-02,0.010
2.76E-02,0.010
2.77E-02,0.010
2.78E-02,0.006
2.79E-02,0.006
2.80E-02,0.006
2.81E-02,0.010
2.82E-02,0.008
2.83E-02,0.008
2.84E-02,0.008
2.85E-02,0.002
2.86E-02,0.004
2.87E-02,0.000
2.88E-02,0.002
2.89E-02,0.000
2.90E-02,0.000
2.91E-02,-0.004
2.92E-02,0.002
2.93E-02,0.002
2.94E-02,-0.004
2.95E-02,-0.002
2.96E-02,-0.004
2.97E-02,-0.002
2.98E-02,-0.002
2.99E-02,-0.006
3.00E-02,-0.006
3.01E-02,-0.006
3.02E-02,-0.008
3.03E-02,-0.010
3.04E-02,-0.012
3.05E-02,-0.012
3.06E-02,-0.014
3.07E-02,-0.010
3.08E-02,-0.010
3.09E-02,-0.020
3.10E-02,-0.006
3.11E-02,-0.016
3.12E-02,-0.018
3.13E-02,-0.008
3.14E-02,-0.024
3.15E-02,-0.028
3.16E-02,-0.024
3.17E-02,-0.018
3.18E-02,-0.018
3.19E-02,-0.018
3.20E-02,-0.016
3.21E-02,-0.016
3.22E-02,-0.020
3.23E-02,-0.020
3.24E-02,-0.016
3.25E-02,-0.022
3.26E-02,-0.024
3.27E-02,-0.028
3.28E-02,-0.028
3.29E-02,-0.032
3.30E-02,-0.028
3.31E-02,-0.024
3.32E-02,-0.028
3.33E-02,-0.022
3.34E-02,-0.024
3.35E-02,-0.032
3.36E-02,-0.032
3.37E-02,-0.026
3.38E-02,-0.032
3.39E-02,-0.024
3.40E-02,-0.024
3.41E-02,-0.028
3.42E-02,-0.024
3.43E-02,-0.026
3.44E-02,-0.032
3.45E-02,-0.026
3.46E-02,-0.028
3.47E-02,-0.042
3.48E-02,-0.034
3.49E-02,-0.034
3.50E-02,-0.032
3.51E-02,-0.030
3.52E-02,-0.034
3.53E-02,-0.036
3.54E-02,-0.026
3.55E-02,-0.030
3.56E-02,-0.028
3.57E-02,-0.032
3.58E-02,-0.040
3.59E-02,-0.012
3.60E-02,-0.012
3.61E-02,-0.032
3.62E-02,-0.018
3.63E-02,-0.032
3.64E-02,-0.020
3.65E-02,-0.014
3.66E-02,-0.030
3.67E-02,-0.034
3.68E-02,-0.026
3.69E-02,-0.024
3.70E-02,-0.020
3.71E-02,-0.016
3.72E-02,-0.018
3.73E-02,-0.014
3.74E-02,-0.014
3.75E-02,-0.014
3.76E-02,-0.012
3.77E-02,-0.012
3.78E-02,-0.012
3.79E-02,-0.014
3.80E-02,-0.008
3.81E-02,-0.006
3.82E-02,-0.010
3.83E-02,-0.008
3.84E-02,-0.006
3.85E-02,-0.008
3.86E-02,-0.008
3.87E-02,-0.006
3.88E-02,-0.004
3.89E-02,0.000
3.90E-02,-0.008
3.91E-02,0.000
3.92E-02,0.000
3.93E-02,0.000
3.94E-02,0.002
3.95E-02,0.010
3.96E-02,0.010
3.97E-02,0.008
3.98E-02,0.006
3.99E-02,0.008
4.00E-02,0.008
4.01E-02,0.006
4.02E-02,0.008
4.03E-02,0.008
4.04E-02,0.014
4.05E-02,0.010
4.06E-02,0.012
4.07E-02,0.018
4.08E-02,0.010
4.09E-02,0.010
4.10E-02,0.008
4.11E-02,0.016
4.12E-02,0.012
4.13E-02,0.016
4.14E-02,0.006
4.15E-02,0.002
4.16E-02,0.008
4.17E-02,0.014
4.18E-02,0.012
4.19E-02,0.008
4.20E-02,0.016
4.21E-02,0.018
4.22E-02,0.026
4.23E-02,0.018
4.24E-02,0.020
4.25E-02,0.032
4.26E-02,0.024
4.27E-02,0.024
4.28E-02,0.022
4.29E-02,0.026
4.30E-02,0.026
4.31E-02,0.026
4.32E-02,0.024
4.33E-02,0.030
4.34E-02,0.038
4.35E-02,0.028
4.36E-02,0.030
4.37E-02,0.018
4.38E-02,0.024
4.39E-02,0.024
4.40E-02,0.024
4.41E-02,0.026
4.42E-02,0.030
4.43E-02,0.034
4.44E-02,0.024
4.45E-02,0.030
4.46E-02,0.024
4.47E-02,0.018
4.48E-02,0.018
4.49E-02,0.024
4.50E-02,0.020
4.51E-02,0.014
4.52E-02,0.026
4.53E-02,0.020
4.54E-02,0.036
4.55E-02,0.020
4.56E-02,0.020
4.57E-02,0.020
4.58E-02,0.022
4.59E-02,0.036
4.60E-02,0.010
4.61E-02,0.018
4.62E-02,0.044
4.63E-02,0.014
4.64E-02,0.028
4.65E-02,0.026
4.66E-02,0.028
4.67E-02,0.028
4.68E-02,0.014
4.69E-02,0.020
4.70E-02,0.026
4.71E-02,0.018
4.72E-02,0.020
4.73E-02,0.014
4.74E-02,0.016
4.75E-02,0.014
4.76E-02,0.012
4.77E-02,0.010
4.78E-02,0.010
4.79E-02,0.010
4.80E-02,0.010
4.81E-02,0.010
4.82E-02,0.008
4.83E-02,0.008
4.84E-02,0.004
4.85E-02,0.002
4.86E-02,0.002
4.87E-02,0.002
4.88E-02,0.002
4.89E-02,0.000
4.90E-02,0.002
4.91E-02,0.000
4.92E-02,0.000
4.93E-02,0.000
4.94E-02,-0.002
4.95E-02,-0.004
4.96E-02,-0.006
4.97E-02,-0.006
4.98E-02,-0.006
4.99E-02,-0.002
5.00E-02,-0.006
5.01E-02,-0.006
5.02E-02,-0.008
5.03E-02,-0.008
5.04E-02,-0.006
5.05E-02,-0.008
5.06E-02,-0.014
5.07E-02,-0.002
5.08E-02,-0.014
5.09E-02,-0.018
5.10E-02,-0.018
5.11E-02,-0.014
5.12E-02,-0.002
5.13E-02,-0.008
5.14E-02,-0.004
5.15E-02,-0.030
5.16E-02,-0.016
5.17E-02,-0.026
5.18E-02,-0.026
5.19E-02,-0.020
5.20E-02,-0.012
5.21E-02,-0.020
5.22E-02,-0.024
5.23E-02,-0.024
5.24E-02,-0.030
5.25E-02,-0.026
5.26E-02,-0.026
5.27E-02,-0.024
5.28E-02,-0.034
5.29E-02,-0.032
5.30E-02,-0.026
5.31E-02,-0.032
5.32E-02,-0.030
5.33E-02,-0.024
5.34E-02,-0.036
5.35E-02,-0.026
5.36E-02,-0.028
5.37E-02,-0.032
5.38E-02,-0.024
5.39E-02,-0.032
5.40E-02,-0.036
5.41E-02,-0.022
5.42E-02,-0.028
5.43E-02,-0.026
5.44E-02,-0.034
5.45E-02,-0.036
5.46E-02,-0.028
5.47E-02,-0.032
5.48E-02,-0.030
5.49E-02,-0.024
5.50E-02,-0.026
5.51E-02,-0.024
5.52E-02,-0.036
5.53E-02,-0.032
5.54E-02,-0.024
5.55E-02,-0.020
5.56E-02,-0.022
5.57E-02,-0.024
5.58E-02,-0.026
5.59E-02,-0.036
5.60E-02,-0.030
5.61E-02,-0.016
5.62E-02,-0.038
5.63E-02,-0.032
5.64E-02,-0.036
5.65E-02,-0.020
5.66E-02,-0.022
5.67E-02,-0.026
5.68E-02,-0.026
5.69E-02,-0.016
5.70E-02,-0.022
5.71E-02,-0.018
5.72E-02,-0.016
5.73E-02,-0.018
5.74E-02,-0.014
5.75E-02,-0.016
5.76E-02,-0.014
5.77E-02,-0.012
5.78E-02,-0.012
5.79E-02,-0.012
5.80E-02,-0.012
5.81E-02,-0.012
5.82E-02,-0.010
5.83E-02,-0.008
5.84E-02,-0.008
5.85E-02,-0.008
5.86E-02,-0.006
5.87E-02,-0.004
5.88E-02,-0.006
5.89E-02,-0.002
5.90E-02,-0.004
5.91E-02,-0.002
5.92E-02,-0.002
5.93E-02,0.000
5.94E-02,0.004
5.95E-02,0.000
5.96E-02,0.002
5.97E-02,0.006
5.98E-02,0.000
5.99E-02,0.002
6.00E-02,0.004
6.01E-02,0.006
6.02E-02,0.006
6.03E-02,0.010
6.04E-02,0.008
6.05E-02,0.010
6.06E-02,0.004
6.07E-02,0.008
6.08E-02,0.018
6.09E-02,0.014
6.10E-02,0.018
6.11E-02,0.020
6.12E-02,0.016
6.13E-02,0.018
6.14E-02,0.008
6.15E-02,0.020
6.16E-02,0.012
6.17E-02,0.010
6.18E-02,0.028
6.19E-02,0.018
6.20E-02,0.012
6.21E-02,0.028
6.22E-02,0.018
6.23E-02,0.020
6.24E-02,0.024
6.25E-02,0.024
6.26E-02,0.024
6.27E-02,0.026
6.28E-02,0.020
6.29E-02,0.026
6.30E-02,0.030
6.31E-02,0.024
6.32E-02,0.028
6.33E-02,0.026
6.34E-02,0.026
6.35E-02,0.020
6.36E-02,0.030
6.37E-02,0.026
6.38E-02,0.024
6.39E-02,0.026
6.40E-02,0.026
6.41E-02,0.020
6.42E-02,0.026
6.43E-02,0.026
6.44E-02,0.026
6.45E-02,0.020
6.46E-02,0.022
6.47E-02,0.018
6.48E-02,0.026
6.49E-02,0.020
6.50E-02,0.022
6.51E-02,0.026
6.52E-02,0.014
6.53E-02,0.018
6.54E-02,0.016
6.55E-02,0.028
6.56E-02,0.026
6.57E-02,0.022
6.58E-02,0.030
6.59E-02,0.028
6.60E-02,0.014
6.61E-02,0.020
6.62E-02,0.034
6.63E-02,0.012
6.64E-02,0.024
6.65E-02,0.028
6.66E-02,0.026
6.67E-02,0.026
6.68E-02,0.016
6.69E-02,0.032
6.70E-02,0.012
6.71E-02,0.014
6.72E-02,0.018
6.73E-02,0.018
6.74E-02,0.014
6.75E-02,0.012
6.76E-02,0.010
6.77E-02,0.010
6.78E-02,0.010
6.79E-02,0.012
6.80E-02,0.008
6.81E-02,0.010
6.82E-02,0.010
6.83E-02,0.002
6.84E-02,0.004
6.85E-02,0.002
6.86E-02,0.002
6.87E-02,0.004
6.88E-02,0.004
6.89E-02,0.002
6.90E-02,0.002
6.91E-02,0.008
6.92E-02,0.000
6.93E-02,0.000
6.94E-02,-0.002
6.95E-02,-0.006
6.96E-02,-0.004
6.97E-02,-0.004
