#timebase=4000000000(ps)
,#voltbase=5000000(mv/100)
#size=4000
4.00E-05,-0.200
8.00E-05,0.000
1.20E-04,-0.200
1.60E-04,-0.200
2.00E-04,0.000
2.40E-04,0.200
2.80E-04,-0.200
3.20E-04,-0.200
3.60E-04,0.200
4.00E-04,0.000
4.40E-04,0.000
4.80E-04,0.000
5.20E-04,0.000
5.60E-04,-0.200
6.00E-04,0.200
6.40E-04,0.200
6.80E-04,0.000
7.20E-04,0.200
7.60E-04,0.200
8.00E-04,-0.200
8.40E-04,0.000
8.80E-04,0.000
9.20E-04,0.000
9.60E-04,-0.200
1.00E-03,-0.200
1.04E-03,0.000
1.08E-03,-0.200
1.12E-03,-0.200
1.16E-03,0.000
1.20E-03,0.400
1.24E-03,-0.200
1.28E-03,0.000
1.32E-03,0.000
1.36E-03,0.200
1.40E-03,0.000
1.44E-03,0.000
1.48E-03,0.000
1.52E-03,0.200
1.56E-03,0.200
1.60E-03,0.000
1.64E-03,0.000
1.68E-03,0.200
1.72E-03,-0.200
1.76E-03,0.000
1.80E-03,0.000
1.84E-03,-0.200
1.88E-03,0.000
1.92E-03,0.200
1.96E-03,0.000
2.00E-03,0.000
2.04E-03,0.200
2.08E-03,0.000
2.12E-03,0.000
2.16E-03,0.000
2.20E-03,0.200
2.24E-03,0.000
2.28E-03,0.000
2.32E-03,0.000
2.36E-03,0.000
2.40E-03,0.200
2.44E-03,-0.200
2.48E-03,0.200
2.52E-03,0.200
2.56E-03,0.000
2.60E-03,-0.200
2.64E-03,0.000
2.68E-03,-0.200
2.72E-03,0.000
2.76E-03,0.000
2.80E-03,0.000
2.84E-03,-0.200
2.88E-03,0.000
2.92E-03,0.000
2.96E-03,0.000
3.00E-03,0.000
3.04E-03,0.400
3.08E-03,-0.200
3.12E-03,0.000
3.16E-03,0.000
3.20E-03,-0.200
3.24E-03,-0.200
3.28E-03,0.200
3.32E-03,0.200
3.36E-03,0.200
3.40E-03,0.200
3.44E-03,0.200
3.48E-03,0.200
3.52E-03,-0.200
3.56E-03,-0.200
3.60E-03,0.000
3.64E-03,0.000
3.68E-03,0.000
3.72E-03,0.000
3.76E-03,0.000
3.80E-03,0.000
3.84E-03,-0.200
3.88E-03,0.200
3.92E-03,0.000
3.96E-03,0.000
4.00E-03,0.000
4.04E-03,-0.200
4.08E-03,0.000
4.12E-03,0.000
4.16E-03,0.200
4.20E-03,-0.200
4.24E-03,-0.200
4.28E-03,0.000
4.32E-03,-0.200
4.36E-03,0.000
4.40E-03,0.200
4.44E-03,-0.200
4.48E-03,-0.200
4.52E-03,0.000
4.56E-03,-0.200
4.60E-03,0.000
4.64E-03,0.200
4.68E-03,0.000
4.72E-03,-0.200
4.76E-03,0.000
4.80E-03,0.400
4.84E-03,-0.200
4.88E-03,-0.200
4.92E-03,0.000
4.96E-03,0.200
5.00E-03,0.000
5.04E-03,0.000
5.08E-03,0.000
5.12E-03,0.000
5.16E-03,0.200
5.20E-03,0.200
5.24E-03,0.000
5.28E-03,0.000
5.32E-03,0.400
5.36E-03,0.200
5.40E-03,0.200
5.44E-03,0.200
5.48E-03,0.000
5.52E-03,0.200
5.56E-03,0.000
5.60E-03,0.000
5.64E-03,0.000
5.68E-03,-0.200
5.72E-03,0.000
5.76E-03,0.000
5.80E-03,0.000
5.84E-03,0.000
5.88E-03,-0.200
5.92E-03,-0.200
5.96E-03,0.000
6.00E-03,0.200
6.04E-03,-0.200
6.08E-03,0.200
6.12E-03,0.200
6.16E-03,0.000
6.20E-03,0.000
6.24E-03,0.200
6.28E-03,0.200
6.32E-03,0.200
6.36E-03,0.000
6.40E-03,0.000
6.44E-03,0.000
6.48E-03,0.000
6.52E-03,-0.200
6.56E-03,-0.200
6.60E-03,0.000
6.64E-03,-0.200
6.68E-03,0.000
6.72E-03,0.000
6.76E-03,0.000
6.80E-03,0.000
6.84E-03,0.200
6.88E-03,0.000
6.92E-03,0.200
6.96E-03,0.200
7.00E-03,0.200
7.04E-03,-0.200
7.08E-03,0.000
7.12E-03,0.200
7.16E-03,0.200
7.20E-03,0.000
7.24E-03,-0.200
7.28E-03,-0.200
7.32E-03,0.000
7.36E-03,0.200
7.40E-03,0.200
7.44E-03,0.200
7.48E-03,0.000
7.52E-03,-0.200
7.56E-03,0.200
7.60E-03,0.000
7.64E-03,0.000
7.68E-03,0.000
7.72E-03,0.200
7.76E-03,-0.200
7.80E-03,-0.200
7.84E-03,0.000
7.88E-03,-0.200
7.92E-03,0.000
7.96E-03,-0.200
8.00E-03,0.200
8.04E-03,0.000
8.08E-03,0.000
8.12E-03,0.000
8.16E-03,0.200
8.20E-03,-0.200
8.24E-03,0.000
8.28E-03,0.200
8.32E-03,0.400
8.36E-03,0.200
8.40E-03,0.400
8.44E-03,0.200
8.48E-03,0.200
8.52E-03,0.400
8.56E-03,-0.200
8.60E-03,0.000
8.64E-03,0.000
8.68E-03,0.200
8.72E-03,0.000
8.76E-03,0.000
8.80E-03,0.000
8.84E-03,0.000
8.88E-03,0.000
8.92E-03,0.200
8.96E-03,0.200
9.00E-03,0.000
9.04E-03,0.000
9.08E-03,-0.200
9.12E-03,-0.200
9.16E-03,0.000
9.20E-03,-0.200
9.24E-03,-0.200
9.28E-03,0.000
9.32E-03,-0.200
9.36E-03,0.200
9.40E-03,-0.200
9.44E-03,0.000
9.48E-03,0.200
9.52E-03,0.000
9.56E-03,0.400
9.60E-03,-0.200
9.64E-03,0.000
9.68E-03,0.000
9.72E-03,0.000
9.76E-03,0.000
9.80E-03,0.200
9.84E-03,0.200
9.88E-03,0.200
9.92E-03,-0.200
9.96E-03,0.200
1.00E-02,0.200
1.00E-02,0.200
1.01E-02,0.000
1.01E-02,0.000
1.02E-02,0.000
1.02E-02,0.000
1.02E-02,0.000
1.03E-02,0.200
1.03E-02,0.000
1.04E-02,0.200
1.04E-02,0.200
1.04E-02,0.200
1.05E-02,0.400
1.05E-02,0.000
1.06E-02,-0.200
1.06E-02,0.000
1.06E-02,0.000
1.07E-02,0.000
1.07E-02,0.000
1.08E-02,0.200
1.08E-02,0.000
1.08E-02,-0.200
1.09E-02,0.000
1.09E-02,-0.200
1.10E-02,-0.200
1.10E-02,0.000
1.10E-02,0.000
1.11E-02,0.000
1.11E-02,0.000
1.12E-02,0.000
1.12E-02,0.000
1.12E-02,0.000
1.13E-02,0.000
1.13E-02,0.000
1.14E-02,0.000
1.14E-02,0.000
1.14E-02,0.000
1.15E-02,0.200
1.15E-02,-0.200
1.16E-02,0.000
1.16E-02,0.000
1.16E-02,0.200
1.17E-02,0.200
1.17E-02,0.200
1.18E-02,0.000
1.18E-02,0.000
1.18E-02,0.200
1.19E-02,-0.200
1.19E-02,0.000
1.20E-02,0.200
1.20E-02,0.200
1.20E-02,0.000
1.21E-02,0.000
1.21E-02,-0.200
1.22E-02,0.200
1.22E-02,0.400
1.22E-02,-0.200
1.23E-02,-0.200
1.23E-02,0.000
1.24E-02,0.200
1.24E-02,0.000
1.24E-02,0.200
1.25E-02,0.000
1.25E-02,0.000
1.26E-02,0.000
1.26E-02,0.000
1.26E-02,0.000
1.27E-02,0.000
1.27E-02,0.400
1.28E-02,-0.200
1.28E-02,0.200
1.28E-02,0.200
1.29E-02,0.000
1.29E-02,0.000
1.30E-02,0.000
1.30E-02,0.000
1.30E-02,0.200
1.31E-02,-0.200
1.31E-02,0.000
1.32E-02,-0.200
1.32E-02,0.200
1.32E-02,-0.200
1.33E-02,0.000
1.33E-02,0.000
1.34E-02,-0.200
1.34E-02,-0.200
1.34E-02,0.000
1.35E-02,0.200
1.35E-02,-0.200
1.36E-02,-0.200
1.36E-02,0.200
1.36E-02,-0.200
1.37E-02,0.000
1.37E-02,-0.200
1.38E-02,0.200
1.38E-02,0.000
1.38E-02,0.000
1.39E-02,0.000
1.39E-02,0.000
1.40E-02,0.200
1.40E-02,0.200
1.40E-02,-0.200
1.41E-02,-0.200
1.41E-02,0.000
1.42E-02,0.200
1.42E-02,0.200
1.42E-02,0.400
1.43E-02,0.200
1.43E-02,0.400
1.44E-02,0.400
1.44E-02,0.200
1.44E-02,-0.200
1.45E-02,0.000
1.45E-02,0.000
1.46E-02,0.000
1.46E-02,0.400
1.46E-02,0.000
1.47E-02,-0.200
1.47E-02,0.000
1.48E-02,0.000
1.48E-02,0.200
1.48E-02,0.200
1.49E-02,0.000
1.49E-02,0.000
1.50E-02,0.200
1.50E-02,-0.200
1.50E-02,-0.200
1.51E-02,0.000
1.51E-02,-0.200
1.52E-02,0.000
1.52E-02,0.000
1.52E-02,0.000
1.53E-02,0.000
1.53E-02,0.000
1.54E-02,0.200
1.54E-02,0.000
1.54E-02,0.000
1.55E-02,0.000
1.55E-02,0.000
1.56E-02,-0.200
1.56E-02,0.000
1.56E-02,0.000
1.57E-02,0.200
1.57E-02,0.000
1.58E-02,0.200
1.58E-02,0.200
1.58E-02,-0.200
1.59E-02,-0.200
1.59E-02,0.000
1.60E-02,0.000
1.60E-02,0.000
1.60E-02,0.000
1.61E-02,-0.200
1.61E-02,0.000
1.62E-02,0.200
1.62E-02,0.200
1.62E-02,0.200
1.63E-02,-0.200
1.63E-02,-0.200
1.64E-02,0.000
1.64E-02,-0.200
1.64E-02,0.000
1.65E-02,0.000
1.65E-02,-0.200
1.66E-02,0.200
1.66E-02,0.200
1.66E-02,0.200
1.67E-02,0.000
1.67E-02,0.000
1.68E-02,-0.200
1.68E-02,0.000
1.68E-02,-0.200
1.69E-02,0.000
1.69E-02,0.200
1.70E-02,0.000
1.70E-02,0.200
1.70E-02,0.000
1.71E-02,0.200
1.71E-02,-0.200
1.72E-02,0.000
1.72E-02,0.000
1.72E-02,0.200
1.73E-02,0.000
1.73E-02,0.000
1.74E-02,0.400
1.74E-02,0.200
